Station,AQI,Month,Date
Lawrenceville,29.15384615,2015/12,12/15/15
Liberty (SAHS),41.61538462,2015/12,12/15/15
Lawrenceville,43.83333333,2016/01,01/15/16
Liberty (SAHS),48.33333333,2016/01,01/15/16
Lawrenceville,40.26923077,2016/02,02/15/16
Liberty (SAHS),37.92307692,2016/02,02/15/16
Lawrenceville,41.63333333,2016/03,03/15/16
Liberty (SAHS),38.96666667,2016/03,03/15/16
Lawrenceville,39.33333333,2016/04,04/15/16
Liberty (SAHS),32.03333333,2016/04,04/15/16
Lawrenceville,43.87096774,2016/05,05/15/16
Liberty (SAHS),42.09677419,2016/05,05/15/16
Lawrenceville,46.26666667,2016/06,06/15/16
Liberty (SAHS),42.86206897,2016/06,06/15/16
Lawrenceville,45.06451613,2016/07,07/15/16
Liberty (SAHS),47.35483871,2016/07,07/15/16
Lawrenceville,41.76923077,2016/08,08/15/16
Liberty (SAHS),40.38461538,2016/08,08/15/16
Lawrenceville,43.48275862,2016/09,09/15/16
Liberty (SAHS),43.65517241,2016/09,09/15/16
Lawrenceville,31.03333333,2016/10,10/15/16
Liberty (SAHS),35.3,2016/10,10/15/16
Lawrenceville,47.93333333,2016/11,11/15/16
Liberty (SAHS),55.33333333,2016/11,11/15/16
Lawrenceville,38,2016/12,12/15/16
Liberty (SAHS),36.35483871,2016/12,12/15/16
Lawrenceville,45.03225806,2017/01,01/15/17
Liberty (SAHS),35.93548387,2017/01,01/15/17
Lawrenceville,44.07407407,2017/02,02/15/17
Liberty (SAHS),49.51851852,2017/02,02/15/17
Lawrenceville,38.67741935,2017/03,03/15/17
Liberty (SAHS),27.1,2017/03,03/15/17
Lawrenceville,32.73333333,2017/04,04/15/17
Liberty (SAHS),30.86666667,2017/04,04/15/17
Lawrenceville,33.12903226,2017/05,05/15/17
Liberty (SAHS),33.77419355,2017/05,05/15/17
Lawrenceville,37.26666667,2017/06,06/15/17
Liberty (SAHS),41.72413793,2017/06,06/15/17
Lawrenceville,41.74193548,2017/07,07/15/17
Liberty (SAHS),47.89655172,2017/07,07/15/17
Lawrenceville,49.96774194,2017/08,08/15/17
Liberty (SAHS),50.09677419,2017/08,08/15/17
Lawrenceville,44.11538462,2017/09,09/15/17
Liberty (SAHS),48.28571429,2017/09,09/15/17
