City,AQI,Times
McKeesport,41.61538462,2015/12
Pittsburgh,30.65384615,2015/12
McKeesport,48.33333333,2016/01
Pittsburgh,44.76666667,2016/01
McKeesport,37.92307692,2016/02
Pittsburgh,40.29090909,2016/02
McKeesport,38.96666667,2016/03
Pittsburgh,41.15,2016/03
McKeesport,32.03333333,2016/04
Pittsburgh,37.78333333,2016/04
McKeesport,42.09677419,2016/05
Pittsburgh,41.87096774,2016/05
McKeesport,42.86206897,2016/06
Pittsburgh,45.28333333,2016/06
McKeesport,47.35483871,2016/07
Pittsburgh,44.30645161,2016/07
McKeesport,40.38461538,2016/08
Pittsburgh,39.88679245,2016/08
McKeesport,43.65517241,2016/09
Pittsburgh,39.27118644,2016/09
McKeesport,35.3,2016/10
Pittsburgh,33.16666667,2016/10
McKeesport,55.33333333,2016/11
Pittsburgh,51.45,2016/11
McKeesport,36.35483871,2016/12
Pittsburgh,44.75806452,2016/12
McKeesport,35.93548387,2017/01
Pittsburgh,48.09677419,2017/01
McKeesport,49.51851852,2017/02
Pittsburgh,48.6,2017/02
McKeesport,27.1,2017/03
Pittsburgh,43.03225806,2017/03
McKeesport,30.86666667,2017/04
Pittsburgh,35.05,2017/04
McKeesport,33.77419355,2017/05
Pittsburgh,32.56451613,2017/05
McKeesport,41.72413793,2017/06
Pittsburgh,36.75,2017/06
McKeesport,47.89655172,2017/07
Pittsburgh,40.27419355,2017/07
McKeesport,50.09677419,2017/08
Pittsburgh,46.22580645,2017/08
McKeesport,48.28571429,2017/09
Pittsburgh,39.5,2017/09
McKeesport,43.38709677,2017/10
Pittsburgh,37.9516129,2017/10
McKeesport,37.93103448,2017/11
Pittsburgh,35.16666667,2017/11
McKeesport,45.5483871,2017/12
Pittsburgh,44.43548387,2017/12
McKeesport,46.1,2018/01
Pittsburgh,41.14754098,2018/01
McKeesport,41.28571429,2018/02
Pittsburgh,35.84210526,2018/02
McKeesport,22.23333333,2018/03
Pittsburgh,31.74193548,2018/03
McKeesport,30.89655172,2018/04
Pittsburgh,35.88888889,2018/04
McKeesport,43.90322581,2018/05
Pittsburgh,48.72043011,2018/05
McKeesport,41.7,2018/06
Pittsburgh,51.25555556,2018/06
McKeesport,69.5,2018/07
Pittsburgh,51.28571429,2018/07
McKeesport,48.45833333,2018/08
Pittsburgh,51.82795699,2018/08
McKeesport,30.10344828,2018/09
Pittsburgh,34.24719101,2018/09
McKeesport,33.38709677,2018/10
Pittsburgh,34.55434783,2018/10
McKeesport,25.06666667,2018/11
Pittsburgh,40.1,2018/11
McKeesport,43.13333333,2018/12
Pittsburgh,45.54347826,2018/12
McKeesport,42.26666667,2019/01
Pittsburgh,43.55681818,2019/01
McKeesport,50.83333333,2019/02
Pittsburgh,44.44047619,2019/02
McKeesport,51.35483871,2019/03
Pittsburgh,45.56989247,2019/03
McKeesport,46.66666667,2019/04
Pittsburgh,40.74444444,2019/04
McKeesport,44.5483871,2019/05
Pittsburgh,40.68817204,2019/05
McKeesport,46.46428571,2019/06
Pittsburgh,42.82954545,2019/06
McKeesport,56.32258065,2019/07
Pittsburgh,49.91397849,2019/07
McKeesport,47.19354839,2019/08
Pittsburgh,42.89247312,2019/08
McKeesport,47.83333333,2019/09
Pittsburgh,43.16666667,2019/09
McKeesport,42.16129032,2019/10
Pittsburgh,35.67741935,2019/10
McKeesport,49.83333333,2019/11
Pittsburgh,43.35555556,2019/11
McKeesport,60.03225806,2019/12
Pittsburgh,50.04301075,2019/12
McKeesport,40.93548387,2020/01
Pittsburgh,38.24731183,2020/01
McKeesport,46.03448276,2020/02
Pittsburgh,38.24137931,2020/02
McKeesport,42.29032258,2020/03
Pittsburgh,36.47311828,2020/03
McKeesport,34.1,2020/04
Pittsburgh,31.7,2020/04
McKeesport,31.25806452,2020/05
Pittsburgh,26.68604651,2020/05
McKeesport,39.45454545,2020/06
Pittsburgh,35.38888889,2020/06
McKeesport,49.77419355,2020/07
Pittsburgh,45.05376344,2020/07
McKeesport,40.64516129,2020/08
Pittsburgh,38.82795699,2020/08
McKeesport,37.5,2020/09
Pittsburgh,37.04444444,2020/09
McKeesport,39.35483871,2020/10
Pittsburgh,34.55913978,2020/10
McKeesport,57.93333333,2020/11
Pittsburgh,44.82222222,2020/11
McKeesport,43.06451613,2020/12
Pittsburgh,39.06451613,2020/12
McKeesport,40.96774194,2021/01
Pittsburgh,42.97849462,2021/01
McKeesport,43.75,2021/02
Pittsburgh,47.38095238,2021/02
McKeesport,45.16129032,2021/03
Pittsburgh,36.92473118,2021/03
McKeesport,49.26666667,2021/04
Pittsburgh,40.63333333,2021/04
McKeesport,47.51612903,2021/05
Pittsburgh,38.86021505,2021/05
McKeesport,52.76666667,2021/06
Pittsburgh,46.82222222,2021/06
McKeesport,58.20689655,2021/07
Pittsburgh,57.97849462,2021/07
Avalon,44.04545455,2021/08
Braddock,51.18181818,2021/08
Glassport,35.18181818,2021/08
McKeesport,53.09677419,2021/08
Millvale,45.40909091,2021/08
Pittsburgh,53.44086022,2021/08
Avalon,37.33333333,2021/09
Braddock,55.8,2021/09
Glassport,35.03333333,2021/09
McKeesport,42.66666667,2021/09
Millvale,34.93333333,2021/09
Pittsburgh,36.98888889,2021/09
Avalon,31.4516129,2021/10
Braddock,46.03225806,2021/10
Glassport,33.22580645,2021/10
McKeesport,37.83870968,2021/10
Millvale,31.29032258,2021/10
Pittsburgh,30.64516129,2021/10
Avalon,38.66666667,2021/11
Braddock,45.36666667,2021/11
Glassport,34,2021/11
McKeesport,48.1,2021/11
Millvale,34.6,2021/11
Pittsburgh,32.53333333,2021/11
Avalon,38,2021/12
Braddock,55.74193548,2021/12
Glassport,31.51612903,2021/12
McKeesport,43.35483871,2021/12
Millvale,39.64516129,2021/12
Pittsburgh,36.67741935,2021/12
Avalon,40.38709677,2022/01
Braddock,53.41935484,2022/01
Glassport,30.4516129,2022/01
McKeesport,42.32258065,2022/01
Millvale,32.74193548,2022/01
Pittsburgh,36.01075269,2022/01
Avalon,39.35714286,2022/02
Braddock,55.78571429,2022/02
Glassport,34.28571429,2022/02
McKeesport,48,2022/02
Millvale,38.28571429,2022/02
Pittsburgh,34.17857143,2022/02
Avalon,36.67741935,2022/03
Braddock,39.67741935,2022/03
Glassport,32.80645161,2022/03
McKeesport,47,2022/03
Millvale,33.74193548,2022/03
Pittsburgh,28.44086022,2022/03
