Station,AQI,Times
Lawrenceville,29.15384615,201512
Liberty (SAHS),41.61538462,201512
Lawrenceville,43.83333333,201601
Liberty (SAHS),48.33333333,201601
Lawrenceville,40.26923077,201602
Liberty (SAHS),37.92307692,201602
Lawrenceville,41.63333333,201603
Liberty (SAHS),38.96666667,201603
Lawrenceville,39.33333333,201604
Liberty (SAHS),32.03333333,201604
Lawrenceville,43.87096774,201605
Liberty (SAHS),42.09677419,201605
Lawrenceville,46.26666667,201606
Liberty (SAHS),42.86206897,201606
Lawrenceville,45.06451613,201607
Liberty (SAHS),47.35483871,201607
Lawrenceville,41.76923077,201608
Liberty (SAHS),40.38461538,201608
Lawrenceville,43.48275862,201609
Liberty (SAHS),43.65517241,201609
Lawrenceville,31.03333333,201610
Liberty (SAHS),35.3,201610
Lawrenceville,47.93333333,201611
Liberty (SAHS),55.33333333,201611
Lawrenceville,38,201612
Liberty (SAHS),36.35483871,201612
Lawrenceville,45.03225806,201701
Liberty (SAHS),35.93548387,201701
Lawrenceville,44.07407407,201702
Liberty (SAHS),49.51851852,201702
Lawrenceville,38.67741935,201703
Liberty (SAHS),27.1,201703
Lawrenceville,32.73333333,201704
Liberty (SAHS),30.86666667,201704
Lawrenceville,33.12903226,201705
Liberty (SAHS),33.77419355,201705
Lawrenceville,37.26666667,201706
Liberty (SAHS),41.72413793,201706
Lawrenceville,41.74193548,201707
Liberty (SAHS),47.89655172,201707
Lawrenceville,49.96774194,201708
Liberty (SAHS),50.09677419,201708
Lawrenceville,44.11538462,201709
Liberty (SAHS),48.28571429,201709
Lawrenceville,40.4516129,201710
Liberty (SAHS),43.38709677,201710
Lawrenceville,37.63333333,201711
Liberty (SAHS),37.93103448,201711
Lawrenceville,46.58064516,201712
Liberty (SAHS),45.5483871,201712
Lawrenceville,44.7,201801
Liberty (SAHS),46.1,201801
Lawrenceville,38.89285714,201802
Liberty (SAHS),41.28571429,201802
Parkway East (Near Road),45,201802
Lawrenceville,33.38709677,201803
Liberty (SAHS),22.23333333,201803
Parkway East (Near Road),30.93548387,201803
Lawrenceville,38.26666667,201804
Liberty (SAHS),30.89655172,201804
Parkway East (Near Road),33.33333333,201804
Lawrenceville,49.48387097,201805
Liberty (SAHS),43.90322581,201805
Parkway East (Near Road),47.38709677,201805
Lawrenceville,57.4,201806
Liberty (SAHS),41.7,201806
Parkway East (Near Road),44.63333333,201806
Lawrenceville,57.13793103,201807
Liberty (SAHS),69.5,201807
Parkway East (Near Road),45.64516129,201807
Lawrenceville,54.19354839,201808
Liberty (SAHS),48.45833333,201808
Parkway East (Near Road),51.29032258,201808
Lawrenceville,38.13333333,201809
Liberty (SAHS),30.10344828,201809
Parkway East (Near Road),31.65517241,201809
Lawrenceville,38.61290323,201810
Liberty (SAHS),33.38709677,201810
Parkway East (Near Road),32.83870968,201810
Lawrenceville,44.83333333,201811
Liberty (SAHS),25.06666667,201811
