City,AQI,Times
McKeesport,41.61538462,Dec-15
Pittsburgh,30.65384615,Dec-15
McKeesport,48.33333333,Jan-16
Pittsburgh,44.76666667,Jan-16
McKeesport,37.92307692,Feb-16
Pittsburgh,40.29090909,Feb-16
McKeesport,38.96666667,Mar-16
Pittsburgh,41.15,Mar-16
McKeesport,32.03333333,Apr-16
Pittsburgh,37.78333333,Apr-16
McKeesport,42.09677419,May-16
Pittsburgh,41.87096774,May-16
McKeesport,42.86206897,Jun-16
Pittsburgh,45.28333333,Jun-16
McKeesport,47.35483871,Jul-16
Pittsburgh,44.30645161,Jul-16
McKeesport,40.38461538,Aug-16
Pittsburgh,39.88679245,Aug-16
McKeesport,43.65517241,Sep-16
Pittsburgh,39.27118644,Sep-16
McKeesport,35.3,Oct-16
Pittsburgh,33.16666667,Oct-16
McKeesport,55.33333333,Nov-16
Pittsburgh,51.45,Nov-16
McKeesport,36.35483871,Dec-16
Pittsburgh,44.75806452,Dec-16
McKeesport,35.93548387,Jan-17
Pittsburgh,48.09677419,Jan-17
McKeesport,49.51851852,Feb-17
Pittsburgh,48.6,Feb-17
McKeesport,27.1,Mar-17
Pittsburgh,43.03225806,Mar-17
McKeesport,30.86666667,Apr-17
Pittsburgh,35.05,Apr-17
McKeesport,33.77419355,May-17
Pittsburgh,32.56451613,May-17
McKeesport,41.72413793,Jun-17
Pittsburgh,36.75,Jun-17
McKeesport,47.89655172,Jul-17
Pittsburgh,40.27419355,Jul-17
McKeesport,50.09677419,Aug-17
Pittsburgh,46.22580645,Aug-17
McKeesport,48.28571429,Sep-17
Pittsburgh,39.5,Sep-17
McKeesport,43.38709677,Oct-17
Pittsburgh,37.9516129,Oct-17
McKeesport,37.93103448,Nov-17
Pittsburgh,35.16666667,Nov-17
McKeesport,45.5483871,Dec-17
Pittsburgh,44.43548387,Dec-17
McKeesport,46.1,Jan-18
Pittsburgh,41.14754098,Jan-18
McKeesport,41.28571429,Feb-18
Pittsburgh,35.84210526,Feb-18
McKeesport,22.23333333,Mar-18
Pittsburgh,31.74193548,Mar-18
McKeesport,30.89655172,Apr-18
Pittsburgh,35.88888889,Apr-18
McKeesport,43.90322581,May-18
Pittsburgh,48.72043011,May-18
McKeesport,41.7,Jun-18
Pittsburgh,51.25555556,Jun-18
McKeesport,69.5,Jul-18
Pittsburgh,51.28571429,Jul-18
McKeesport,48.45833333,Aug-18
Pittsburgh,51.82795699,Aug-18
McKeesport,30.10344828,Sep-18
Pittsburgh,34.24719101,Sep-18
McKeesport,33.38709677,Oct-18
Pittsburgh,34.55434783,Oct-18
McKeesport,25.06666667,Nov-18
Pittsburgh,40.1,Nov-18
McKeesport,43.13333333,Dec-18
Pittsburgh,45.54347826,Dec-18
McKeesport,42.26666667,Jan-19
Pittsburgh,43.55681818,Jan-19
McKeesport,50.83333333,Feb-19
Pittsburgh,44.44047619,Feb-19
McKeesport,51.35483871,Mar-19
Pittsburgh,45.56989247,Mar-19
McKeesport,46.66666667,Apr-19
Pittsburgh,40.74444444,Apr-19
McKeesport,44.5483871,May-19
Pittsburgh,40.68817204,May-19
McKeesport,46.46428571,Jun-19
Pittsburgh,42.82954545,Jun-19
McKeesport,56.32258065,Jul-19
Pittsburgh,49.91397849,Jul-19
McKeesport,47.19354839,Aug-19
Pittsburgh,42.89247312,Aug-19
